address,price,beds,bath,size,place
836 Goswell Dr 4,"$329,900",2 Beds,2 Baths,"1,156 Sq. Ft.","Nolensville, TN, 37135"
4060 Rosa Dr,"$782,790",4 Beds,3 Baths,"2,711 Sq. Ft.","Nolensville, TN, 37135"
4611 Robin Ln,"$749,900",3 Beds,2 Baths,"2,397 Sq. Ft.","Nolensville, TN, 37135"
7167 Nolen Park Cir,"$825,000",5 Beds,3 Baths,"3,603 Sq. Ft.","Nolensville, TN, 37135"
108 Cureton Ct,"$1,650,000",4 Beds,4 Baths,"4,455 Sq. Ft.","Nolensville, TN, 37135"
234 Belgian Rd,"$1,795,000",5 Beds,5 Baths,"4,947 Sq. Ft.","Nolensville, TN, 37135"
555 Great Angelica Way,"$990,900",4 Beds,4 Baths,"3,678 Sq. Ft.","Nolensville, TN, 37135"
2516 Carmine St,"$759,000",4 Beds,4 Baths,"3,257 Sq. Ft.","Nolensville, TN, 37135"
100 Telfair Ln,"$1,149,000",5 Beds,6 Baths,"3,911 Sq. Ft.","Nolensville, TN, 37135"
2161 Kirkwall Dr,"$649,900",3 Beds,2 Baths,"2,035 Sq. Ft.","Nolensville, TN, 37135"
2127 Sister Ct,"$785,000",4 Beds,3 Baths,"2,998 Sq. Ft.","Nolensville, TN, 37135"
1820 Burke Hollow Road,"$1,050,000",3 Beds,2 Baths,"3,382 Sq. Ft.","Nolensville, TN, 37135"
812 Edson Ln,"$999,000",3 Beds,3 Baths,"3,511 Sq. Ft.","Nolensville, TN, 37135"
5024 Burke Trl,"$689,900",4 Beds,3 Baths,"2,626 Sq. Ft.","Nolensville, TN, 37135"
105 McCord Ct,"$549,990",4 Beds,3 Baths,"2,131 Sq. Ft.","Nolensville, TN, 37135"
2424 Trivaca Ln,"$679,900",4 Beds,3 Baths,"2,501 Sq. Ft.","Nolensville, TN, 37135"
7164 Nolen Park Cir,"$688,990",3 Beds,3 Baths,"2,916 Sq. Ft.","Nolensville, TN, 37135"
2705 Cortlandt Ln,"$695,000",4 Beds,3 Baths,"2,810 Sq. Ft.","Nolensville, TN, 37135"
1026 Stoneleigh Ln 204,"$349,900",2 Beds,2 Baths,"1,156 Sq. Ft.","Nolensville, TN, 37135"
4791 Jobe Trl,"$729,900",4 Beds,3 Baths,"2,618 Sq. Ft.","Nolensville, TN, 37135"
508 Clemente Ave,"$1,195,000",5 Beds,4 Baths,"4,129 Sq. Ft.","Nolensville, TN, 37135"
748 Alameda Ave,"$999,900",5 Beds,4 Baths,"3,940 Sq. Ft.","Nolensville, TN, 37135"
2108 Sister Ct,"$639,000",4 Beds,3 Baths,"2,408 Sq. Ft.","Nolensville, TN, 37135"
117 Kearney Ct,"$774,500",4 Beds,4 Baths,"3,215 Sq. Ft.","Nolensville, TN, 37135"
7355 Nolensville Rd,"$1,500,000",5 Beds,4 Baths,"4,724 Sq. Ft.","Nolensville, TN, 37135"
1117 Angela Ann Ct,"$1,299,900",5 Beds,5 Baths,"4,180 Sq. Ft.","Nolensville, TN, 37135"
4061 Liberton Way,"$684,900",4 Beds,4 Baths,"2,452 Sq. Ft.","Nolensville, TN, 37135"
1023 Crossfield Dr,"$1,149,900",4 Beds,5 Baths,"4,660 Sq. Ft.","Nolensville, TN, 37135"
2208 Steel Ct,"$1,250,000",5 Beds,5 Baths,"4,461 Sq. Ft.","Nolensville, TN, 37135"
725 Chard Ln,"$519,900",3 Beds,4 Baths,"2,222 Sq. Ft.","Nolensville, TN, 37013"
1041 Annecy Pkwy,"$1,975,000",5 Beds,6 Baths,"5,332 Sq. Ft.","Nolensville, TN, 37135"
1016 Annecy Pkwy,"$2,090,000",5 Beds,7 Baths,"5,791 Sq. Ft.","Nolensville, TN, 37135"
820 Novalis St,"$919,990",5 Beds,4 Baths,"3,150 Sq. Ft.","Nolensville, TN, 37135"
816 Novalis St,"$949,900",5 Beds,4 Baths,"3,137 Sq. Ft.","Nolensville, TN, 37135"
9820 Sam Donald Rd,"$1,275,000",Studio,,,"Nolensville, TN, 37135"
6827 Nolensville Rd,"$1,500,000",1 Acres,,,"Nolensville, TN, 37013"
819 Novalis St,"$1,199,990",5 Beds,5 Baths,"4,539 Sq. Ft.","Nolensville, TN, 37135"
827 Novalis St,"$1,224,990",6 Beds,6 Baths,"5,441 Sq. Ft.","Nolensville, TN, 37135"
5048 Evangeline Place,"$919,990",5 Beds,4 Baths,"3,084 Sq. Ft.","Nolensville, TN, 37135"
2518 Broome St,"$699,900",5 Beds,4 Baths,"2,767 Sq. Ft.","Nolensville, TN, 37135"
5044 Evangeline Place,"$924,990",5 Beds,4 Baths,"3,143 Sq. Ft.","Nolensville, TN, 37135"
5040 Evangeline Place,"$899,990",4 Beds,3 Baths,"2,804 Sq. Ft.","Nolensville, TN, 37135"
2231 Broadway St,"$924,990",5 Beds,4 Baths,"3,133 Sq. Ft.","Nolensville, TN, 37135"
3032 Palladian Lane,"$986,000",4 Beds,4 Baths,"2,816 Sq. Ft.","Nolensville, TN, 37135"
2235 Broadway St,"$959,990",5 Beds,4 Baths,"2,851 Sq. Ft.","Nolensville, TN, 37135"
2227 Broadway Street,"$889,990",5 Beds,4 Baths,"3,084 Sq. Ft.","Nolensville, TN, 37135"
2370 Rocky Fork Rd,"$1,790,000",8.2 Acres,,,"Nolensville, TN, 37135"
0 Warren Hollow Rd,"$595,000",10.26 Acres,,,"Nolensville, TN, 37135"
0 Nolensville Rd,"$999,900",29.41 Acres,,,"Nolensville, TN, 37135"
1008 Stoneleigh Ln,"$584,900",4 Beds,4 Baths,"2,278 Sq. Ft.","Nolensville, TN, 37135"
2801 McCanless Rd,"$295,000",,,,"Nolensville, TN, 37135"
109 Cureton Court,"$1,499,900",5 Beds,6 Baths,"4,462 Sq. Ft.","Nolensville, TN, 37135"
4058 Addie Francis Drive,"$924,990",4 Beds,4 Baths,"2,572 Sq. Ft.","Nolensville, TN, 37135"
4050 Addie Francis Drive,"$899,990",4 Beds,4 Baths,"2,645 Sq. Ft.","Nolensville, TN, 37135"
4054 Addie Francis Drive,"$849,990",4 Beds,4 Baths,"2,659 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$734,990",3 Beds,2 Baths,"2,154 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$759,990",3 Beds,3 Baths,"2,517 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$659,990",3 Beds,3 Baths,"1,791 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$649,990",3 Beds,3 Baths,"2,089 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$599,990",3 Beds,2 Baths,"1,507 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$754,990",4 Beds,3 Baths,"2,572 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$718,900",3 Beds,3 Baths,"2,664 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$754,900",3 Beds,3 Baths,"2,915 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$757,900",4 Beds,4 Baths,"3,240 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$791,900",4 Beds,4 Baths,"3,426 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$802,900",4 Beds,4 Baths,"3,472 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$813,900",4 Beds,5 Baths,"3,613 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$820,900",5 Beds,5 Baths,"3,667 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$789,990",4 Beds,3 Baths,"2,877 Sq. Ft.","Nolensville, TN, 37135"
"Nolensville, 37135","$689,990",3 Beds,2 Baths,"1,690 Sq. Ft.","Nolensville, TN, 37135"
4632 Sawmill Pl,"$739,900",3 Beds,3 Baths,"2,800 Sq. Ft.","Nolensville, TN, 37135"
7628 Kemberton Dr E,"$549,900",5 Beds,3 Baths,"2,326 Sq. Ft.","Nolensville, TN, 37135"
4650 Robin Lane,"$819,900",4 Beds,3 Baths,"2,783 Sq. Ft.","Nolensville, TN, 37135"
5008 Ozment Dr,"$814,990",4 Beds,4 Baths,"2,884 Sq. Ft.","Nolensville, TN, 37122"
5044 Ozment Dr,"$874,990",4 Beds,4 Baths,"2,884 Sq. Ft.","Nolensville, TN, 37122"
619 Silva Ln,"$1,350,000",5 Beds,7 Baths,"4,563 Sq. Ft.","Nolensville, TN, 37135"
3022 Ozment Dr,"$710,990",3 Beds,3 Baths,"2,211 Sq. Ft.","Nolensville, TN, 37135"
4040 Rosa Dr,"$799,990",4 Beds,3 Baths,"2,543 Sq. Ft.","Nolensville, TN, 37135"
4025 Rosa Dr,"$649,990",3 Beds,3 Baths,"2,089 Sq. Ft.","Nolensville, TN, 37135"
3030 Ozment Dr,"$659,990",3 Beds,3 Baths,"2,211 Sq. Ft.","Nolensville, TN, 37135"
2385 Orchard St,"$699,000",4 Beds,3 Baths,"2,790 Sq. Ft.","Nolensville, TN, 37135"
1017 Wadeslea Ln,"$980,000",4 Beds,5 Baths,"3,702 Sq. Ft.","Nolensville, TN, 37135"
1523 Winding Creek Dr,"$355,000",2 Beds,3 Baths,"1,240 Sq. Ft.","Nolensville, TN, 37135"
5041 Ozment Dr,"$989,000",5 Beds,4 Baths,"3,679 Sq. Ft.","Nolensville, TN, 37135"
1521 Esplanade Dr,"$1,499,900",4 Beds,5 Baths,"3,814 Sq. Ft.","Nolensville, TN, 37135"
2036 Catalina Way,"$1,149,000",5 Beds,4 Baths,"4,066 Sq. Ft.","Nolensville, TN, 37135"
6063 Yellowstone Dr,"$749,990",3 Beds,3 Baths,"2,494 Sq. Ft.","Nolensville, TN, 37135"
605 Candleshoe Ct,"$1,149,000",4 Beds,4 Baths,"3,830 Sq. Ft.","Nolensville, TN, 37135"
2060 Bocage Cir,"$1,249,900",4 Beds,4 Baths,"3,830 Sq. Ft.","Nolensville, TN, 37135"
25 City Terrace,"$240,000",Studio,"1,584 Sq. Ft.",,"Newburgh, NY, 12550"
502 Barclay Manor 5B,"$85,000",1 Bed,1 Bath,638 Sq. Ft.,"Newburgh, NY, 12550"
11 Yeoman Road,"$400,000",3 Beds,2 Baths,"1,580 Sq. Ft.","Newburgh, NY, 12550"
29 Loscerbo Lane,"$420,000",4 Beds,3 Baths,"3,202 Sq. Ft.","Newburgh, NY, 12550"
8 Bellevue Road,"$274,999",2 Beds,1 Bath,909 Sq. Ft.,"Newburgh, NY, 12550"
18 Homewood Avenue,"$279,000",3 Beds,1 Bath,960 Sq. Ft.,"Newburgh, NY, 12550"
221 Dubois Street,"$260,000",4 Beds,3 Baths,"1,676 Sq. Ft.","Newburgh, NY, 12550"
25 Dubois Street,"$325,000",9 Beds,2 Baths,"2,600 Sq. Ft.","Newburgh, NY, 12550"
217 Dubois Street,"$275,000",4 Beds,2 Baths,"1,966 Sq. Ft.","Newburgh, NY, 12550"
11 Benkard Avenue,"$379,999",9 Beds,3 Baths,"3,222 Sq. Ft.","Newburgh, NY, 12550"
14 Distillery Path,"$549,900",3 Beds,2 Baths,"3,374 Sq. Ft.","Newburgh, NY, 12550"
1478 Route 300,"$525,000",4 Beds,2 Baths,"1,969 Sq. Ft.","Newburgh, NY, 12550"
81 Liberty Wh Street,"$657,000",7 Beds,3 Baths,"2,724 Sq. Ft.","Newburgh, NY, 12550"
10 Westwood Drive,"$320,000",3 Beds,1 Bath,960 Sq. Ft.,"Newburgh, NY, 12550"
1 Gusty Road,"$329,000",3 Beds,1 Bath,950 Sq. Ft.,"Newburgh, NY, 12550"
185 N Miller Street,"$170,000",3 Beds,2 Baths,"1,782 Sq. Ft.","Newburgh, NY, 12550"
74 Liberty Street Wh,"$480,000",4 Beds,"2,566 Sq. Ft.",,"Newburgh, NY, 12550"
274 Gardnertown Road,"$325,000",3 Beds,1 Bath,"1,388 Sq. Ft.","Newburgh, NY, 12550"
Fostertown Road,"$175,000",4 Acres,,,"Newburgh, NY, 12550"
35 Cocoa Lane,"$410,000",3 Beds,2 Baths,"1,725 Sq. Ft.","Newburgh, NY, 12550"
28 Cedar Court,"$389,000",4 Beds,3 Baths,"2,144 Sq. Ft.","Newburgh, NY, 12550"
8 Central Avenue,"$698,000",9 Beds,"3,520 Sq. Ft.",,"Newburgh, NY, 12550"
462 Liberty Street,"$474,000",7 Beds,2 Baths,"1,248 Sq. Ft.","Newburgh, NY, 12550"
32 Hudson View Terrace,"$235,000",2 Beds,1 Bath,"1,074 Sq. Ft.","Newburgh, NY, 12550"
1050 Maggie Road 1311,"$350,000",2 Beds,2 Baths,"1,200 Sq. Ft.","Newburgh, NY, 12550"
801 Broadway,"$249,000",4 Beds,1 Bath,"1,372 Sq. Ft.","Newburgh, NY, 12550"
913 River Road,"$169,000",4 Beds,1 Bath,"1,792 Sq. Ft.","Newburgh, NY, 12550"
288-292 Lakeside Road,"$599,900",6 Beds,3 Baths,"2,112 Sq. Ft.","Newburgh, NY, 12550"
54 Rock Cut Rd,"$349,000",3 Beds,2 Baths,"2,674 Sq. Ft.","Newburgh, NY, 12550"
12 Town Line Road,"$339,900",3 Beds,2 Baths,"2,064 Sq. Ft.","Newburgh, NY, 12550"
72 Chestnut Lane,"$320,000",2 Beds,1 Bath,"1,830 Sq. Ft.","Newburgh, NY, 12550"
244 Liberty Street,"$500,000",7 Beds,3 Baths,"3,369 Sq. Ft.","Newburgh, NY, 12550"
142 Locust Lane,"$429,000",4 Beds,3 Baths,"2,524 Sq. Ft.","Newburgh, NY, 12550"
3 Distillery Path,"$534,999",3 Beds,3 Baths,"2,184 Sq. Ft.","Newburgh, NY, 12550"
7 Echo Lane,"$499,999",4 Beds,3 Baths,"3,286 Sq. Ft.","Newburgh, NY, 12550"
75 Liberty Street Wh,"$539,000",4 Beds,3 Baths,"3,264 Sq. Ft.","Newburgh, NY, 12550"
2 Balmville Road,"$795,000",7 Beds,3 Baths,"4,051 Sq. Ft.","Newburgh, NY, 12550"
135 Dogwood Lane,"$595,000",4 Beds,3 Baths,"2,841 Sq. Ft.","Newburgh, NY, 12550"
67 Susan Drive,"$1,995,000",6 Beds,6 Baths,"9,007 Sq. Ft.","Newburgh, NY, 12550"
18 Breezy Knoll Drive,"$389,900",3 Beds,2 Baths,"2,187 Sq. Ft.","Newburgh, NY, 12550"
195 Montgomery Street,"$560,000",4 Beds,3 Baths,"1,612 Sq. Ft.","Newburgh, NY, 12550"
5 Queens Way,"$400,000",4 Beds,3 Baths,"2,118 Sq. Ft.","Newburgh, NY, 12550"
381 Lakeside Road,"$1,495,000",3 Beds,2 Baths,"2,215 Sq. Ft.","Newburgh, NY, 12550"
17 Orchard Heights Drive,"$374,999",3 Beds,1 Bath,"1,304 Sq. Ft.","Newburgh, NY, 12550"
61 Delaware Road,"$385,000",4 Beds,3 Baths,"1,970 Sq. Ft.","Newburgh, NY, 12550"
253 3rd Street,"$349,900",5 Beds,2 Baths,"2,140 Sq. Ft.","Newburgh, NY, 12550"
15 Gail Place,"$459,000",4 Beds,2 Baths,"2,266 Sq. Ft.","Newburgh, NY, 12550"
63 Hy Vue Drive,"$599,999",4 Beds,3 Baths,"2,871 Sq. Ft.","Newburgh, NY, 12550"
225 Montgomery Street,"$750,000",6 Beds,3 Baths,"3,583 Sq. Ft.","Newburgh, NY, 12550"
48 Wesley Court,"$529,000",4 Beds,4 Baths,"2,869 Sq. Ft.","Newburgh, NY, 12550"
106 Carson Avenue,"$325,000",5 Beds,3 Baths,"1,824 Sq. Ft.","Newburgh, NY, 12550"
91 Dubois Street,"$225,000",3 Beds,2 Baths,"3,061 Sq. Ft.","Newburgh, NY, 12550"
515 Park Avenue,"$299,000",3 Beds,2 Baths,924 Sq. Ft.,"Newburgh, NY, 12550"
4 Ashwood Terrace,"$399,000",3 Beds,3 Baths,"1,878 Sq. Ft.","Newburgh, NY, 12550"
Canterbury Drive Road,"$199,000",6 Acres,,,"Newburgh, NY, 12550"
145 Chambers Street,"$249,900",3 Beds,2 Baths,"2,310 Sq. Ft.","Newburgh, NY, 12550"
2 Christie Road,"$339,900",4 Beds,2 Baths,"1,746 Sq. Ft.","Newburgh, NY, 12550"
22 Memorial Drive,"$339,000",4 Beds,2 Baths,"2,157 Sq. Ft.","Newburgh, NY, 12550"
215 Colden Hill Road,"$534,999",4 Beds,3 Baths,"1,780 Sq. Ft.","Newburgh, NY, 12550"
281 Powell Avenue,"$349,900",3 Beds,2 Baths,"1,512 Sq. Ft.","Newburgh, NY, 12550"
23 Stacy Lee Drive,"$529,000",4 Beds,3 Baths,"2,600 Sq. Ft.","Newburgh, NY, 12550"
70 Leroy Place,"$785,000",4 Beds,3 Baths,"2,637 Sq. Ft.","Newburgh, NY, 12550"
18 Old South Plank Road,"$479,999",3 Beds,2 Baths,"2,367 Sq. Ft.","Newburgh, NY, 12550"
151 N Fostertown Drive,"$550,000",3 Beds,4 Baths,"4,628 Sq. Ft.","Newburgh, NY, 12550"
284 Liberty Street,"$545,000",3 Beds,3 Baths,"2,970 Sq. Ft.","Newburgh, NY, 12550"
4 Deer Run Road,"$460,000",4 Beds,2 Baths,"2,621 Sq. Ft.","Newburgh, NY, 12550"
44 Winona Avenue,"$329,700",3 Beds,1 Bath,"1,106 Sq. Ft.","Newburgh, NY, 12550"
240 Colden Hill Road,"$499,900",4 Beds,3 Baths,"1,884 Sq. Ft.","Newburgh, NY, 12550"
174 Orchard Street,"$259,900",3 Beds,1 Bath,"1,180 Sq. Ft.","Newburgh, NY, 12550"
129 Johnston Street,"$160,000",7 Beds,3 Baths,"3,238 Sq. Ft.","Newburgh, NY, 12550"
1506 Cortland Drive 15F,"$149,000",2 Beds,1 Bath,900 Sq. Ft.,"Newburgh, NY, 12550"
1506 Cortland,"$149,000",2 Beds,1 Bath,864 Sq. Ft.,"Newburgh, NY, 12550"
113-115 Chambers Street,"$549,000",9 Beds,3 Baths,"5,588 Sq. Ft.","Newburgh, NY, 12550"
594 S Plank Road,"$209,500",3 Beds,2 Baths,"1,322 Sq. Ft.","Newburgh, NY, 12550"
1 Tower Road,"$424,900",3 Beds,2 Baths,"1,472 Sq. Ft.","Newburgh, NY, 12550"
43 Lutheran Street,"$255,000",4 Beds,2 Baths,"1,824 Sq. Ft.","Newburgh, NY, 12550"
9 Echo Lane,"$749,000",7 Beds,5 Baths,"3,119 Sq. Ft.","Newburgh, NY, 12550"
162 Dubois Street,"$225,000",Studio,"2,406 Sq. Ft.",,"Newburgh, NY, 12550"
14 Norton Street,"$230,000",3 Beds,1 Bath,"1,056 Sq. Ft.","Newburgh, NY, 12550"
16 Hideaway Lane,"$550,000",4 Beds,3 Baths,"4,091 Sq. Ft.","Newburgh, NY, 12550"
170 Montgomery Street,"$720,000",8 Beds,4 Baths,"4,417 Sq. Ft.","Newburgh, NY, 12550"
11 Hopeview Court,"$739,000",4 Beds,4 Baths,"4,600 Sq. Ft.","Newburgh, NY, 12550"
44 Williams Avenue,"$525,000",4 Beds,3 Baths,"2,684 Sq. Ft.","Newburgh, NY, 12550"
25 Sherman Drive,"$260,000",3 Beds,2 Baths,"1,000 Sq. Ft.","Newburgh, NY, 12550"
21 Loscerbo Lane,"$575,000",4 Beds,4 Baths,"3,336 Sq. Ft.","Newburgh, NY, 12550"
50 Chestnut Lane,"$300,000",3 Beds,2 Baths,"1,556 Sq. Ft.","Newburgh, NY, 12550"
338 Robinson Avenue,"$279,000",3 Beds,1 Bath,988 Sq. Ft.,"Newburgh, NY, 12550"
2 Gala Drive,"$599,000",4 Beds,4 Baths,"3,000 Sq. Ft.","Newburgh, NY, 12550"
98 Lattintown Road,"$278,000",3 Beds,1 Bath,"1,848 Sq. Ft.","Newburgh, NY, 12550"
16 Carroll Street,"$309,999",2 Beds,2 Baths,"1,722 Sq. Ft.","Newburgh, NY, 12550"
74 Lander Street,"$255,000",Studio,"2,448 Sq. Ft.",,"Newburgh, NY, 12550"
6 Washington Place,"$237,000",2 Beds,2 Baths,912 Sq. Ft.,"Newburgh, NY, 12550"
2 Park Place C3D,"$395,000",2 Beds,2 Baths,"1,473 Sq. Ft.","Newburgh, NY, 12550"
5421 Route 9W,"$339,000",Studio,"2,600 Sq. Ft.",,"Newburgh, NY, 12550"
117 Lander Street,"$125,000",Studio,"1,200 Sq. Ft.",,"Newburgh, NY, 12550"
119 Lander Street,"$125,000",Studio,"1,275 Sq. Ft.",,"Newburgh, NY, 12550"
404 Parr Meadow Drive 4D,"$164,447",2 Beds,1 Bath,880 Sq. Ft.,"Newburgh, NY, 12550"
86 Johnston Street,"$245,000",5 Beds,2 Baths,"1,260 Sq. Ft.","Newburgh, NY, 12550"
109 Bennett Road,"$239,000",3 Beds,3 Baths,"2,272 Sq. Ft.","Newburgh, NY, 12550"
57 Lexington Drive,"$739,000",6 Beds,5 Baths,"5,021 Sq. Ft.","Newburgh, NY, 12550"
28 Poplar Street,"$275,000",3 Beds,2 Baths,"1,440 Sq. Ft.","Newburgh, NY, 12550"
1162 Maggie Road 93,"$300,000",2 Beds,2 Baths,"1,149 Sq. Ft.","Newburgh, NY, 12550"
1201 McIntosh Place 12A,"$129,900",2 Beds,1 Bath,864 Sq. Ft.,"Newburgh, NY, 12550"
1212 River View Court,"$589,999",2 Beds,3 Baths,"2,417 Sq. Ft.","Newburgh, NY, 12550"
29 Sylvan Park Drive,"$500,000",4 Beds,3 Baths,"2,652 Sq. Ft.","Newburgh, NY, 12550"
131 Renwick Street,"$450,000",9 Beds,3 Baths,"2,808 Sq. Ft.","Newburgh, NY, 12550"
127 Locust Lane,"$499,000",4 Beds,3 Baths,"2,206 Sq. Ft.","Newburgh, NY, 12550"
105 Parkview Street S,"$279,900",2 Beds,1 Bath,910 Sq. Ft.,"Newburgh, NY, 12550"
105 Parkview S Street,"$279,900",2 Beds,1 Bath,910 Sq. Ft.,"Newburgh, NY, 12550"
516 Center Street,"$329,000",3 Beds,2 Baths,"1,425 Sq. Ft.","Newburgh, NY, 12550"
28 N Fostertown Drive,"$280,413",4 Beds,2 Baths,"1,260 Sq. Ft.","Newburgh, NY, 12550"
44 Thompson Street,"$239,900",2 Beds,1 Bath,816 Sq. Ft.,"Newburgh, NY, 12550"
147 W Parmenter Street,"$275,000",3 Beds,2 Baths,"1,008 Sq. Ft.","Newburgh, NY, 12550"
87 Cronomer Heights Drive,"$649,000",2 Beds,2 Baths,"2,661 Sq. Ft.","Newburgh, NY, 12550"
87 Cronomer Hts Drive,"$649,000",2 Beds,2 Baths,"2,661 Sq. Ft.","Newburgh, NY, 12550"
Route 32,"$39,900",1 Acres,,,"Newburgh, NY, 12550"
228 Carter Avenue,"$344,900",3 Beds,2 Baths,"1,790 Sq. Ft.","Newburgh, NY, 12550"
127 Highland Avenue,"$89,999",0 Acres,,,"Newburgh, NY, 12550"
125 Highland Avenue,"$89,999",1 Acres,,,"Newburgh, NY, 12550"
129 Highland Avenue,"$89,999",0 Acres,,,"Newburgh, NY, 12550"
482 Liberty Street,"$350,000",5 Beds,2 Baths,"2,846 Sq. Ft.","Newburgh, NY, 12550"
22 Loscerbo Lane,"$599,000",3 Beds,4 Baths,"4,233 Sq. Ft.","Newburgh, NY, 12550"
56 Van Ness Street,"$239,000",6 Beds,2 Baths,"1,500 Sq. Ft.","Newburgh, NY, 12550"
228 Grand Street A,"$500,000",Studio,"2,163 Sq. Ft.",,"Newburgh, NY, 12550"
85 Henry Avenue,"$255,000",3 Beds,2 Baths,"1,200 Sq. Ft.","Newburgh, NY, 12550"
28 Wintergreen Avenue,"$255,000",3 Beds,2 Baths,"1,632 Sq. Ft.","Newburgh, NY, 12550"
309 Liberty Street,"$315,000",3 Beds,3 Baths,"1,225 Sq. Ft.","Newburgh, NY, 12550"
446 First Street,"$285,000",3 Beds,2 Baths,"1,525 Sq. Ft.","Newburgh, NY, 12550"
169 Holmes Road,"$199,000",3 Beds,2 Baths,"2,214 Sq. Ft.","Newburgh, NY, 12550"
11 Chestnut Street,"$229,900",2 Beds,1 Bath,864 Sq. Ft.,"Newburgh, NY, 12550"
65 North Street,"$344,999",3 Beds,2 Baths,"1,724 Sq. Ft.","Newburgh, NY, 12550"
8 10 S Miller Street,"$675,000",15 Beds,7 Baths,"7,360 Sq. Ft.","Newburgh, NY, 12550"
84 Carpenter Avenue,"$270,000",4 Beds,2 Baths,"1,790 Sq. Ft.","Newburgh, NY, 12550"
39 Susan Drive 0,"$425,000",3 Beds,2 Baths,"1,304 Sq. Ft.","Newburgh, NY, 12550"
516 Lakeside Road,"$699,900",5 Beds,4 Baths,"4,600 Sq. Ft.","Newburgh, NY, 12550"
107 Parr Meadow Drive 1G,"$215,000",2 Beds,1 Bath,"1,000 Sq. Ft.","Newburgh, NY, 12550"
165 Lattintown Rd,"$88,000",3 Beds,2 Baths,800 Sq. Ft.,"Newburgh, NY, 12550"
26 Nob Circle,"$299,900",3 Beds,2 Baths,"1,146 Sq. Ft.","Newburgh, NY, 12550"
25 Bright Star Dr,"$599,000",6 Beds,4 Baths,"5,500 Sq. Ft.","Newburgh, NY, 12550"
241 Gidney Avenue,"$224,900",2 Beds,1 Bath,"1,120 Sq. Ft.","Newburgh, NY, 12550"
1 Carroll Street,"$375,000",4 Beds,3 Baths,"1,600 Sq. Ft.","Newburgh, NY, 12550"
42 Wesley Court,"$499,500",4 Beds,3 Baths,"2,301 Sq. Ft.","Newburgh, NY, 12550"
282 Liberty Street,"$279,000",Studio,"1,740 Sq. Ft.",,"Newburgh, NY, 12550"
5 Lena Lane,"$459,000",3 Beds,3 Baths,"1,812 Sq. Ft.","Newburgh, NY, 12550"
228 Grand Street,"$500,000",Studio,"2,163 Sq. Ft.",,"Newburgh, NY, 12550"
14 5th Avenue,"$299,900",2 Beds,2 Baths,"1,048 Sq. Ft.","Newburgh, NY, 12550"
90 Lander Street,"$249,000",Studio,"2,463 Sq. Ft.",,"Newburgh, NY, 12550"
65 Lander Street,"$224,999",6 Beds,2 Baths,"1,718 Sq. Ft.","Newburgh, NY, 12550"
14 Ohio Drive,"$400,000",4 Beds,3 Baths,"2,051 Sq. Ft.","Newburgh, NY, 12550"
Oak St & River Road,"$250,000",2 Acres,,,"Newburgh, NY, 12550"
23 Maywood Drive,"$625,000",4 Beds,3 Baths,"3,462 Sq. Ft.","Newburgh, NY, 12550"
Barbara Drive,"$149,900",2.2 Acres,,,"Newburgh, NY, 12550"
Tbd Fifth Ave 5th Ave,"$50,000",2 Acres,,,"Newburgh, NY, 12550"
218 Renwick Street,"$309,900",3 Beds,2 Baths,"1,806 Sq. Ft.","Newburgh, NY, 12550"
208 Renwick Street,"$325,000",5 Beds,2 Baths,"1,796 Sq. Ft.","Newburgh, NY, 12550"
78 Benkard Avenue,"$340,000",5 Beds,2 Baths,"1,968 Sq. Ft.","Newburgh, NY, 12550"
79 Carson Avenue,"$289,000",4 Beds,2 Baths,"2,060 Sq. Ft.","Newburgh, NY, 12550"
12 Tulip Lane,"$315,000",3 Beds,1 Bath,"1,260 Sq. Ft.","Newburgh, NY, 12550"
28 Flemming Drive,"$279,000",3 Beds,2 Baths,"1,000 Sq. Ft.","Newburgh, NY, 12550"
21 Barton Street,"$319,900",3 Beds,2 Baths,"1,060 Sq. Ft.","Newburgh, NY, 12550"
32 Richman Avenue,"$299,000",4 Beds,2 Baths,"2,040 Sq. Ft.","Newburgh, NY, 12550"
39 Susan Dr,"$425,000",3 Beds,2 Baths,"1,304 Sq. Ft.","Newburgh, NY, 12550"
209 Hy Vue Circle,"$360,000",2 Beds,1 Bath,"1,494 Sq. Ft.","Newburgh, NY, 12550"
52 Susan Drive,"$625,000",3 Beds,3 Baths,"2,518 Sq. Ft.","Newburgh, NY, 12550"
